original_feature,importance
poutcome,0.20928022752537412
contact,0.17062083783295767
month,0.15789707951190074
housing,0.120017414511117
pdays,0.07396276958407734
age,0.06405634933199988
balance,0.04484362819892342
previous,0.041146114575017746
day,0.029634838257704396
job,0.027899837529716594
marital,0.027851086745875837
loan,0.022031338622221272
education,0.009223893436389876
default,0.0015345843367242365
