targeted_top_pct,customers_targeted,subscribers_captured,conversion_rate_pct,capture_rate_pct,baseline_conversion_rate_pct,lift_vs_baseline
Top 10%,904,438,48.451327433628315,41.39886578449906,11.699657193409267,4.14126043461532
Top 20%,1808,617,34.126106194690266,58.317580340264655,11.699657193409267,2.9168466759790554
Top 30%,2712,718,26.474926253687315,67.86389413988658,11.699657193409267,2.2628805114564687
Top 40%,3617,818,22.615427149571467,77.31568998109641,11.699657193409267,1.9329991277275498
Top 50%,4521,875,19.354125193541254,82.70321361058602,11.699657193409267,1.6542472034517348
