model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7569390688930665,0.26753670473083196,0.6200378071833649,0.3737891737891738,0.7685825147103561
Decision Tree,0.7581554793763132,0.26311372219890894,0.5926275992438563,0.3644289450741064,0.7395439582487484
Random Forest,0.793541966161672,0.30928807166430927,0.6200378071833649,0.41270839886756844,0.7880461711645061
